Language,Code,Family,Writing,Size,Avg_Mass,Avg_Phase,Mass_Std,Phase_Std
English,en,Indo-European (Germanic),LTR Alphabetic,140003,0.5524180027737685,2.5149179466029516,0.1075382540227564,0.2871115923030949
Spanish,es,Indo-European (Romance),LTR Alphabetic,86107,0.5019164162268701,2.505202922400903,0.11753045769590904,0.30023817047329826
French,fr,Indo-European (Romance),LTR Alphabetic,48783,0.5208949713509108,2.5331429917739343,0.1179239883656274,0.30048079531384025
Italian,it,Indo-European (Romance),LTR Alphabetic,40482,0.5189171210452446,2.5188465830342333,0.1069205053421207,0.3145633737725355
Portuguese,pt,Indo-European (Romance),LTR Alphabetic,44794,0.49169706604219254,2.5166747552668327,0.12330322242736053,0.3141800258025427
Catalan,ca,Indo-European (Romance),LTR Alphabetic,64022,0.5126967765551429,2.4610798086503545,0.11942540701671765,0.2943059300461856
Dutch,nl,Indo-European (Germanic),LTR Alphabetic,42091,0.5592743114482118,2.557045675850207,0.11830161236683735,0.29932326718922103
Finnish,fi,Finno-Ugric,LTR Alphabetic,117681,0.49930595635979114,2.604819996003596,0.10744123079228772,0.28362845922590263
Icelandic,is,Indo-European (Nordic),LTR Alphabetic,11346,0.40860158344730785,2.567855497960985,0.1587083795048694,0.3121001774550151
Norwegian,no,Indo-European (Nordic),LTR Alphabetic,4183,0.5479584203478907,2.584319486197821,0.13838578569036875,0.3209194674002601
Arabic,ar,Afro-Asiatic,RTL Alphabetic,19074,0.49372910283615046,3.644938129816649,0.07114684546829315,0.17470437063278596
Japanese,ja,Japonic,Mixed Logographic,90948,0.23597204591346269,3.287705939914012,0.14596948699462767,0.3501652058552856
Mandarin,zh,Sino-Tibetan,Logographic,60893,0.35108383778256325,3.5808347683305737,0.10035515762853799,0.2535313317061963
Thai,th,Tai-Kadai,Abugida,62709,0.33877439219981675,3.1557024676073175,0.045231699254155856,0.12137214140163749
